"fixed.acidity" "volatile.acidity" "citric.acid" "residual.sugar" "chlorides" "free.sulfur.dioxide" "total.sulfur.dioxide" "density" "pH" "sulphates" "alcohol" "quality" "colour"
"81" 6.2 0.45 0.2 1.6 0.069 3 15 0.9958 3.41 0.56 9.2 5 "red"
"91" 7.9 0.52 0.26 1.9 0.079 42 140 0.9964 3.23 0.54 9.5 5 "red"
"92" 8.6 0.49 0.28 1.9 0.11 20 136 0.9972 2.93 1.95 9.9 6 "red"
"99" 7.6 0.9 0.06 2.5 0.079 5 10 0.9967 3.39 0.56 9.8 5 "red"
"105" 7.2 0.49 0.24 2.2 0.07 5 36 0.996 3.33 0.48 9.4 5 "red"
"110" 8.1 0.785 0.52 2 0.122 37 153 0.9969 3.21 0.69 9.3 5 "red"
"111" 7.8 0.56 0.19 1.8 0.104 12 47 0.9964 3.19 0.93 9.5 5 "red"
"113" 8.4 0.6 0.1 2.2 0.085 14 111 0.9964 3.15 0.66 9.8 5 "red"
"115" 7.8 0.56 0.19 1.8 0.104 12 47 0.9964 3.19 0.93 9.5 5 "red"
"119" 8.8 0.55 0.04 2.2 0.119 14 56 0.9962 3.21 0.6 10.9 6 "red"
"120" 7 0.69 0.08 1.8 0.097 22 89 0.9959 3.34 0.54 9.2 6 "red"
"124" 8 0.71 0 2.6 0.08 11 34 0.9976 3.44 0.53 9.5 5 "red"
"131" 8 0.745 0.56 2 0.118 30 134 0.9968 3.24 0.66 9.4 5 "red"
"133" 5.6 0.5 0.09 2.3 0.049 17 99 0.9937 3.63 0.63 13 5 "red"
"134" 6.6 0.5 0.01 1.5 0.06 17 26 0.9952 3.4 0.58 9.8 6 "red"
"136" 8.4 0.745 0.11 1.9 0.09 16 63 0.9965 3.19 0.82 9.6 5 "red"
"137" 8.3 0.715 0.15 1.8 0.089 10 52 0.9968 3.23 0.77 9.5 5 "red"
"142" 8.3 0.715 0.15 1.8 0.089 10 52 0.9968 3.23 0.77 9.5 5 "red"
"152" 9.2 0.52 1 3.4 0.61 32 69 0.9996 2.74 2 9.4 4 "red"
"164" 7.4 0.6 0.26 7.3 0.07 36 121 0.9982 3.37 0.49 9.4 5 "red"
"169" 6.8 0.63 0.07 2.1 0.089 11 44 0.9953 3.47 0.55 10.4 6 "red"
"174" 7.4 0.62 0.05 1.9 0.068 24 42 0.9961 3.42 0.57 11.5 6 "red"
"176" 6.9 0.5 0.04 1.5 0.085 19 49 0.9958 3.35 0.78 9.5 5 "red"
"181" 8.8 0.61 0.14 2.4 0.067 10 42 0.9969 3.19 0.59 9.5 5 "red"
"187" 7.4 0.39 0.48 2 0.082 14 67 0.9972 3.34 0.55 9.2 5 "red"
"196" 7.8 0.59 0.33 2 0.074 24 120 0.9968 3.25 0.54 9.4 5 "red"
"200" 6.9 1.09 0.06 2.1 0.061 12 31 0.9948 3.51 0.43 11.4 4 "red"
"201" 9.6 0.32 0.47 1.4 0.056 9 24 0.99695 3.22 0.82 10.3 7 "red"
"204" 7 0.42 0.35 1.6 0.088 16 39 0.9961 3.34 0.55 9.2 5 "red"
"207" 12.8 0.3 0.74 2.6 0.095 9 28 0.9994 3.2 0.77 10.8 7 "red"
"212" 8 0.725 0.24 2.8 0.083 10 62 0.99685 3.35 0.56 10 6 "red"
"219" 7.5 0.49 0.19 1.9 0.076 10 44 0.9957 3.39 0.54 9.7 5 "red"
"222" 7.4 0.53 0.26 2 0.101 16 72 0.9957 3.15 0.57 9.4 5 "red"
"224" 8.6 0.645 0.25 2 0.083 8 28 0.99815 3.28 0.6 10 6 "red"
"225" 8.4 0.635 0.36 2 0.089 15 55 0.99745 3.31 0.57 10.4 4 "red"
"228" 9 0.82 0.14 2.6 0.089 9 23 0.9984 3.39 0.63 9.8 5 "red"
"237" 7.2 0.63 0 1.9 0.097 14 38 0.99675 3.37 0.58 9 6 "red"
"241" 8.9 0.635 0.37 1.7 0.263 5 62 0.9971 3 1.09 9.3 5 "red"
"247" 7.1 0.68 0.07 1.9 0.075 16 51 0.99685 3.38 0.52 9.5 5 "red"
"256" 8 0.57 0.23 3.2 0.073 17 119 0.99675 3.26 0.57 9.3 5 "red"
"265" 12.5 0.56 0.49 2.4 0.064 5 27 0.9999 3.08 0.87 10.9 5 "red"
"267" 8.1 0.87 0 3.3 0.096 26 61 1.00025 3.6 0.72 9.8 4 "red"
"289" 8.7 0.52 0.09 2.5 0.091 20 49 0.9976 3.34 0.86 10.6 7 "red"
"292" 11 0.2 0.48 2 0.343 6 18 0.9979 3.3 0.71 10.5 5 "red"
"303" 8.3 0.705 0.12 2.6 0.092 12 28 0.9994 3.51 0.72 10 5 "red"
"330" 10.7 0.46 0.39 2 0.061 7 15 0.9981 3.18 0.62 9.5 5 "red"
"332" 10.2 0.36 0.64 2.9 0.122 10 41 0.998 3.23 0.66 12.5 6 "red"
"340" 12.5 0.28 0.54 2.3 0.082 12 29 0.9997 3.11 1.36 9.8 7 "red"
"343" 10.9 0.39 0.47 1.8 0.118 6 14 0.9982 3.3 0.75 9.8 6 "red"
"352" 9.1 0.795 0 2.6 0.096 11 26 0.9994 3.35 0.83 9.4 6 "red"
"358" 10.5 0.42 0.66 2.95 0.116 12 29 0.997 3.24 0.75 11.7 7 "red"
"371" 6.9 0.765 0.02 2.3 0.063 35 63 0.9975 3.57 0.78 9.9 5 "red"
"382" 13.7 0.415 0.68 2.9 0.085 17 43 1.0014 3.06 0.8 10 6 "red"
"384" 8.3 0.26 0.42 2 0.08 11 27 0.9974 3.21 0.8 9.4 6 "red"
"386" 7.4 0.63 0.07 2.4 0.09 11 37 0.9979 3.43 0.76 9.7 6 "red"
"392" 13.7 0.415 0.68 2.9 0.085 17 43 1.0014 3.06 0.8 10 6 "red"
"408" 12 0.39 0.66 3 0.093 12 30 0.9996 3.18 0.63 10.8 7 "red"
"409" 10.4 0.34 0.58 3.7 0.174 6 16 0.997 3.19 0.7 11.3 6 "red"
"410" 12.5 0.46 0.49 4.5 0.07 26 49 0.9981 3.05 0.57 9.6 4 "red"
"412" 9.1 0.45 0.35 2.4 0.08 23 78 0.9987 3.38 0.62 9.5 5 "red"
"415" 8.8 0.52 0.34 2.7 0.087 24 122 0.9982 3.26 0.61 9.5 5 "red"
"426" 6.6 0.84 0.03 2.3 0.059 32 48 0.9952 3.52 0.56 12.3 7 "red"
"428" 9.5 0.78 0.22 1.9 0.077 6 32 0.9988 3.26 0.56 10.6 6 "red"
"439" 10.4 0.41 0.55 3.2 0.076 22 54 0.9996 3.15 0.89 9.9 6 "red"
"441" 12.6 0.31 0.72 2.2 0.072 6 29 0.9987 2.88 0.82 9.8 8 "red"
"443" 15.6 0.685 0.76 3.7 0.1 6 43 1.0032 2.95 0.68 11.2 7 "red"
"447" 12.5 0.38 0.6 2.6 0.081 31 72 0.9996 3.1 0.73 10.5 5 "red"
"448" 9.3 0.48 0.29 2.1 0.127 6 16 0.9968 3.22 0.72 11.2 5 "red"
"464" 8.1 0.66 0.7 2.2 0.098 25 129 0.9972 3.08 0.53 9 5 "red"
"466" 10 0.29 0.4 2.9 0.098 10 26 1.0006 3.48 0.91 9.7 5 "red"
"470" 8.7 0.82 0.02 1.2 0.07 36 48 0.9952 3.2 0.58 9.8 5 "red"
"472" 9.6 0.54 0.42 2.4 0.081 25 52 0.997 3.2 0.71 11.4 6 "red"
"477" 9.3 0.27 0.41 2 0.091 6 16 0.998 3.28 0.7 9.7 5 "red"
"478" 10.4 0.24 0.49 1.8 0.075 6 20 0.9977 3.18 1.06 11 6 "red"
"490" 9.3 0.39 0.4 2.6 0.073 10 26 0.9984 3.34 0.75 10.2 6 "red"
"506" 10.2 0.49 0.63 2.9 0.072 10 26 0.9968 3.16 0.78 12.5 7 "red"
"507" 10.4 0.24 0.46 1.8 0.075 6 21 0.9976 3.25 1.02 10.8 7 "red"
"510" 13.3 0.29 0.75 2.8 0.084 23 43 0.9986 3.04 0.68 11.4 7 "red"
"531" 9.1 0.22 0.24 2.1 0.078 1 28 0.999 3.41 0.87 10.3 6 "red"
"532" 11.9 0.38 0.49 2.7 0.098 12 42 1.0004 3.16 0.61 10.3 5 "red"
"537" 9.9 0.63 0.24 2.4 0.077 6 33 0.9974 3.09 0.57 9.4 5 "red"
"539" 12.9 0.35 0.49 5.8 0.066 5 35 1.0014 3.2 0.66 12 7 "red"
"540" 11.2 0.5 0.74 5.15 0.1 5 17 0.9996 3.22 0.62 11.2 5 "red"
"544" 11.2 0.66 0.24 2.5 0.085 16 53 0.9993 3.06 0.72 11 6 "red"
"550" 9 0.53 0.49 1.9 0.171 6 25 0.9975 3.27 0.61 9.4 6 "red"
"555" 15.5 0.645 0.49 4.2 0.095 10 23 1.00315 2.92 0.74 11.1 5 "red"
"559" 10.9 0.53 0.49 4.6 0.118 10 17 1.0002 3.07 0.56 11.7 6 "red"
"562" 9 0.44 0.49 2.4 0.078 26 121 0.9978 3.23 0.58 9.2 5 "red"
"571" 11.5 0.35 0.49 3.3 0.07 10 37 1.0003 3.32 0.91 11 6 "red"
"578" 8.8 0.44 0.49 2.8 0.083 18 111 0.9982 3.3 0.6 9.5 5 "red"
"584" 12 0.28 0.49 1.9 0.074 10 21 0.9976 2.98 0.66 9.9 7 "red"
"601" 8.2 0.915 0.27 2.1 0.088 7 23 0.9962 3.26 0.47 10 4 "red"
"609" 10.1 0.65 0.37 5.1 0.11 11 65 1.0026 3.32 0.64 10.4 6 "red"
"611" 8.8 0.24 0.54 2.5 0.083 25 57 0.9983 3.39 0.54 9.2 5 "red"
"618" 11.5 0.31 0.51 2.2 0.079 14 28 0.9982 3.03 0.93 9.8 6 "red"
"624" 7.9 0.51 0.25 2.9 0.077 21 45 0.9974 3.49 0.96 12.1 6 "red"
"625" 6.8 0.69 0 5.6 0.124 21 58 0.9997 3.46 0.72 10.2 5 "red"
"627" 8.8 0.6 0.29 2.2 0.098 5 15 0.9988 3.36 0.49 9.1 5 "red"
"650" 6.7 0.42 0.27 8.6 0.068 24 148 0.9948 3.16 0.57 11.3 6 "red"
"663" 7.2 0.57 0.06 1.6 0.076 9 27 0.9972 3.36 0.7 9.6 6 "red"
"666" 9.4 0.59 0.14 2 0.084 25 48 0.9981 3.14 0.56 9.7 5 "red"
"668" 11.3 0.34 0.45 2 0.082 6 15 0.9988 2.94 0.66 9.2 6 "red"
"677" 10.8 0.4 0.41 2.2 0.084 7 17 0.9984 3.08 0.67 9.3 6 "red"
"686" 8.1 0.78 0.23 2.6 0.059 5 15 0.997 3.37 0.56 11.3 5 "red"
"700" 11.8 0.38 0.55 2.1 0.071 5 19 0.9986 3.11 0.62 10.8 6 "red"
"702" 7 0.65 0.02 2.1 0.066 8 25 0.9972 3.47 0.67 9.5 6 "red"
"703" 7 0.64 0.02 2.1 0.067 9 23 0.997 3.47 0.67 9.4 6 "red"
"705" 9.1 0.765 0.04 1.6 0.078 4 14 0.998 3.29 0.54 9.7 4 "red"
"706" 8.4 1.035 0.15 6 0.073 11 54 0.999 3.37 0.49 9.9 5 "red"
"712" 8.9 0.565 0.34 3 0.093 16 112 0.9998 3.38 0.61 9.5 5 "red"
"714" 8 0.43 0.36 2.3 0.075 10 48 0.9976 3.34 0.46 9.4 5 "red"
"715" 9.9 0.74 0.28 2.6 0.078 21 77 0.998 3.28 0.51 9.8 5 "red"
"716" 7.2 0.49 0.18 2.7 0.069 13 34 0.9967 3.29 0.48 9.2 6 "red"
"727" 8.1 0.72 0.09 2.8 0.084 18 49 0.9994 3.43 0.72 11.1 6 "red"
"729" 6.4 0.57 0.02 1.8 0.067 4 11 0.997 3.46 0.68 9.5 5 "red"
"731" 9.5 0.55 0.66 2.3 0.387 12 37 0.9982 3.17 0.67 9.6 5 "red"
"740" 9 0.69 0 2.4 0.088 19 38 0.999 3.35 0.6 9.3 5 "red"
"744" 11.6 0.41 0.58 2.8 0.096 25 101 1.00024 3.13 0.53 10 5 "red"
"745" 11.1 0.39 0.54 2.7 0.095 21 101 1.0001 3.13 0.51 9.5 5 "red"
"751" 8.3 0.65 0.1 2.9 0.089 17 40 0.99803 3.29 0.55 9.5 5 "red"
"753" 7.6 0.54 0.13 2.5 0.097 24 66 0.99785 3.39 0.61 9.4 5 "red"
"757" 6.3 0.98 0.01 2 0.057 15 33 0.99488 3.6 0.46 11.2 6 "red"
"768" 7.5 0.6 0.32 2.7 0.103 13 98 0.99938 3.45 0.62 9.5 5 "red"
"774" 7.9 0.4 0.29 1.8 0.157 1 44 0.9973 3.3 0.92 9.5 6 "red"
"776" 7.2 1 0 3 0.102 7 16 0.99586 3.43 0.46 10 5 "red"
"791" 7.4 0.37 0.43 2.6 0.082 18 82 0.99708 3.33 0.68 9.7 6 "red"
"793" 7.1 0.61 0.02 2.5 0.081 17 87 0.99745 3.48 0.6 9.7 6 "red"
"798" 9.3 0.37 0.44 1.6 0.038 21 42 0.99526 3.24 0.81 10.8 7 "red"
"801" 7.2 0.61 0.08 4 0.082 26 108 0.99641 3.25 0.51 9.4 5 "red"
"803" 5.1 0.585 0 1.7 0.044 14 86 0.99264 3.56 0.94 12.9 7 "red"
"804" 7.7 0.56 0.08 2.5 0.114 14 46 0.9971 3.24 0.66 9.6 6 "red"
"805" 8.4 0.52 0.22 2.7 0.084 4 18 0.99682 3.26 0.57 9.9 6 "red"
"809" 7.4 0.53 0.12 1.9 0.165 4 12 0.99702 3.26 0.86 9.2 5 "red"
"813" 10.8 0.45 0.33 2.5 0.099 20 38 0.99818 3.24 0.71 10.8 5 "red"
"816" 10.8 0.45 0.33 2.5 0.099 20 38 0.99818 3.24 0.71 10.8 5 "red"
"817" 9.8 0.51 0.19 3.2 0.081 8 30 0.9984 3.23 0.58 10.5 6 "red"
"825" 7.1 0.48 0.28 2.8 0.068 6 16 0.99682 3.24 0.53 10.3 5 "red"
"831" 7.5 0.685 0.07 2.5 0.058 5 9 0.99632 3.38 0.55 10.9 4 "red"
"832" 5.9 0.61 0.08 2.1 0.071 16 24 0.99376 3.56 0.77 11.1 6 "red"
"834" 11.6 0.47 0.44 1.6 0.147 36 51 0.99836 3.38 0.86 9.9 4 "red"
"836" 7.6 0.665 0.1 1.5 0.066 27 55 0.99655 3.39 0.51 9.3 5 "red"
"838" 6.7 0.28 0.28 2.4 0.012 36 100 0.99064 3.26 0.39 11.7 7 "red"
"843" 10.6 0.5 0.45 2.6 0.119 34 68 0.99708 3.23 0.72 10.9 6 "red"
"852" 9.3 0.43 0.44 1.9 0.085 9 22 0.99708 3.28 0.55 9.5 5 "red"
"856" 7.6 0.735 0.02 2.5 0.071 10 14 0.99538 3.51 0.71 11.7 7 "red"
"869" 6.8 0.56 0.22 1.8 0.074 15 24 0.99438 3.4 0.82 11.2 6 "red"
"873" 7.3 0.35 0.24 2 0.067 28 48 0.99576 3.43 0.54 10 4 "red"
"874" 9.1 0.21 0.37 1.6 0.067 6 10 0.99552 3.23 0.58 11.1 7 "red"
"875" 10.4 0.38 0.46 2.1 0.104 6 10 0.99664 3.12 0.65 11.8 7 "red"
"878" 7.7 0.715 0.01 2.1 0.064 31 43 0.99371 3.41 0.57 11.8 6 "red"
"881" 9.2 0.56 0.18 1.6 0.078 10 21 0.99576 3.15 0.49 9.9 5 "red"
"884" 7.2 0.6 0.04 2.5 0.076 18 88 0.99745 3.53 0.55 9.5 5 "red"
"885" 8.8 0.61 0.19 4 0.094 30 69 0.99787 3.22 0.5 10 6 "red"
"889" 6.8 0.57 0 2.5 0.072 32 64 0.99491 3.43 0.56 11.2 6 "red"
"893" 10.1 0.45 0.23 1.9 0.082 10 18 0.99774 3.22 0.65 9.3 6 "red"
"902" 7.4 0.635 0.1 2.4 0.08 16 33 0.99736 3.58 0.69 10.8 7 "red"
"903" 7.4 0.635 0.1 2.4 0.08 16 33 0.99736 3.58 0.69 10.8 7 "red"
"905" 6.8 0.59 0.06 6 0.06 11 18 0.9962 3.41 0.59 10.8 7 "red"
"906" 9.2 0.58 0.2 3 0.081 15 115 0.998 3.23 0.59 9.5 5 "red"
"907" 7.2 0.54 0.27 2.6 0.084 12 78 0.9964 3.39 0.71 11 5 "red"
"919" 8.4 0.36 0.32 2.2 0.081 32 79 0.9964 3.3 0.72 11 6 "red"
"922" 8.4 0.36 0.32 2.2 0.081 32 79 0.9964 3.3 0.72 11 6 "red"
"924" 6.8 0.41 0.31 8.8 0.084 26 45 0.99824 3.38 0.64 10.1 6 "red"
"927" 9.4 0.24 0.33 2.3 0.061 52 73 0.99786 3.47 0.9 10.2 6 "red"
"935" 6.6 0.61 0.01 1.9 0.08 8 25 0.99746 3.69 0.73 10.5 5 "red"
"938" 12 0.63 0.5 1.4 0.071 6 26 0.99791 3.07 0.6 10.4 4 "red"
"953" 8.2 0.31 0.4 2.2 0.058 6 10 0.99536 3.31 0.68 11.2 7 "red"
"958" 9.5 0.37 0.52 2 0.088 12 51 0.99613 3.29 0.58 11.1 6 "red"
"959" 6.4 0.57 0.12 2.3 0.12 25 36 0.99519 3.47 0.71 11.3 7 "red"
"960" 8 0.59 0.05 2 0.089 12 32 0.99735 3.36 0.61 10 5 "red"
"961" 8.5 0.47 0.27 1.9 0.058 18 38 0.99518 3.16 0.85 11.1 6 "red"
"974" 8.5 0.34 0.44 1.7 0.079 6 12 0.99605 3.52 0.63 10.7 5 "red"
"978" 8.4 0.59 0.29 2.6 0.109 31 119 0.99801 3.15 0.5 9.1 5 "red"
"982" 9.5 0.86 0.26 1.9 0.079 13 28 0.99712 3.25 0.62 10 5 "red"
"985" 12.2 0.45 0.49 1.4 0.075 3 6 0.9969 3.13 0.63 10.4 5 "red"
"1004" 6.8 0.36 0.32 1.8 0.067 4 8 0.9928 3.36 0.55 12.8 7 "red"
"1005" 8.2 0.43 0.29 1.6 0.081 27 45 0.99603 3.25 0.54 10.3 5 "red"
"1015" 8 0.58 0.16 2 0.12 3 7 0.99454 3.22 0.58 11.2 6 "red"
"1019" 8 0.18 0.37 0.9 0.049 36 109 0.99007 2.89 0.44 12.7 6 "red"
"1035" 8.9 0.745 0.18 2.5 0.077 15 48 0.99739 3.2 0.47 9.7 6 "red"
"1036" 10.1 0.37 0.34 2.4 0.085 5 17 0.99683 3.17 0.65 10.6 7 "red"
"1037" 7.6 0.31 0.34 2.5 0.082 26 35 0.99356 3.22 0.59 12.5 7 "red"
"1049" 9.3 0.49 0.36 1.7 0.081 3 14 0.99702 3.27 0.78 10.9 6 "red"
"1057" 8.9 0.48 0.53 4 0.101 3 10 0.99586 3.21 0.59 12.1 7 "red"
"1059" 9.9 0.53 0.57 2.4 0.093 30 52 0.9971 3.19 0.76 11.6 7 "red"
"1064" 10.2 0.29 0.65 2.4 0.075 6 17 0.99565 3.22 0.63 11.8 6 "red"
"1073" 7.2 0.35 0.26 1.8 0.083 33 75 0.9968 3.4 0.58 9.5 6 "red"
"1076" 9.1 0.25 0.34 2 0.071 45 67 0.99769 3.44 0.86 10.2 7 "red"
"1077" 9.9 0.32 0.56 2 0.073 3 8 0.99534 3.15 0.73 11.4 6 "red"
"1082" 7.9 0.3 0.68 8.3 0.05 37.5 289 0.99316 3.01 0.51 12.3 7 "red"
"1087" 8.5 0.34 0.4 4.7 0.055 3 9 0.99738 3.38 0.66 11.6 7 "red"
"1093" 7 0.54 0.09 2 0.081 10 16 0.99479 3.43 0.59 11.5 6 "red"
"1097" 6.6 0.725 0.09 5.5 0.117 9 17 0.99655 3.35 0.49 10.8 6 "red"
"1102" 7.4 0.49 0.27 2.1 0.071 14 25 0.99388 3.35 0.63 12 6 "red"
"1115" 5 0.4 0.5 4.3 0.046 29 80 0.9902 3.49 0.66 13.6 6 "red"
"1120" 5.6 0.66 0 2.5 0.066 7 15 0.99256 3.52 0.58 12.9 5 "red"
"1127" 5.8 0.29 0.26 1.7 0.063 3 11 0.9915 3.39 0.54 13.5 6 "red"
"1128" 6.3 0.76 0 2.9 0.072 26 52 0.99379 3.51 0.6 11.5 6 "red"
"1130" 10.5 0.43 0.35 3.3 0.092 24 70 0.99798 3.21 0.69 10.5 6 "red"
"1132" 5.9 0.19 0.21 1.7 0.045 57 135 0.99341 3.32 0.44 9.5 5 "red"
"1138" 10.4 0.52 0.45 2 0.08 6 13 0.99774 3.22 0.76 11.4 6 "red"
"1143" 6.9 0.45 0.11 2.4 0.043 6 12 0.99354 3.3 0.65 11.4 6 "red"
"1146" 8.2 0.2 0.43 2.5 0.076 31 51 0.99672 3.53 0.81 10.4 6 "red"
"1150" 10 0.35 0.47 2 0.061 6 11 0.99585 3.23 0.52 12 6 "red"
"1153" 8.3 0.6 0.25 2.2 0.118 9 38 0.99616 3.15 0.53 9.8 5 "red"
"1160" 10.2 0.41 0.43 2.2 0.11 11 37 0.99728 3.16 0.67 10.8 5 "red"
"1162" 8.8 0.45 0.43 1.4 0.076 12 21 0.99551 3.21 0.75 10.2 6 "red"
"1165" 9 0.785 0.24 1.7 0.078 10 21 0.99692 3.29 0.67 10 5 "red"
"1167" 9.9 0.54 0.26 2 0.111 7 60 0.99709 2.94 0.98 10.2 5 "red"
"1177" 6.5 0.88 0.03 5.6 0.079 23 47 0.99572 3.58 0.5 11.2 4 "red"
"1181" 8.2 0.35 0.33 2.4 0.076 11 47 0.99599 3.27 0.81 11 6 "red"
"1187" 6.6 0.8 0.03 7.8 0.079 6 12 0.9963 3.52 0.5 12.2 5 "red"
"1204" 9.9 0.74 0.19 5.8 0.111 33 76 0.99878 3.14 0.55 9.4 5 "red"
"1205" 7.2 0.36 0.46 2.1 0.074 24 44 0.99534 3.4 0.85 11 7 "red"
"1231" 7.7 0.18 0.34 2.7 0.066 15 58 0.9947 3.37 0.78 11.8 6 "red"
"1242" 9.8 0.37 0.39 2.5 0.079 28 65 0.99729 3.16 0.59 9.8 5 "red"
"1249" 6.9 0.41 0.33 2.2 0.081 22 36 0.9949 3.41 0.75 11.1 6 "red"
"1252" 7.5 0.58 0.14 2.2 0.077 27 60 0.9963 3.28 0.59 9.8 5 "red"
"1254" 7.9 0.66 0 1.4 0.096 6 13 0.99569 3.43 0.58 9.5 5 "red"
"1259" 6.8 0.64 0 2.7 0.123 15 33 0.99538 3.44 0.63 11.3 6 "red"
"1261" 8.6 0.635 0.68 1.8 0.403 19 56 0.99632 3.02 1.15 9.3 5 "red"
"1265" 8.5 0.37 0.32 1.8 0.066 26 51 0.99456 3.38 0.72 11.8 6 "red"
"1266" 7.2 0.57 0.05 2.3 0.081 16 36 0.99564 3.38 0.6 10.3 6 "red"
"1274" 7.5 0.58 0.2 2 0.073 34 44 0.99494 3.1 0.43 9.3 5 "red"
"1275" 7.8 0.58 0.13 2.1 0.102 17 36 0.9944 3.24 0.53 11.2 6 "red"
"1279" 8 0.715 0.22 2.3 0.075 13 81 0.99688 3.24 0.54 9.5 6 "red"
"1287" 7.1 0.16 0.44 2.5 0.068 17 31 0.99328 3.35 0.54 12.4 6 "red"
"1288" 8 0.6 0.08 2.6 0.056 3 7 0.99286 3.22 0.37 13 5 "red"
"1293" 5.9 0.395 0.13 2.4 0.056 14 28 0.99362 3.62 0.67 12.4 6 "red"
"1299" 5.7 0.6 0 1.4 0.063 11 18 0.99191 3.45 0.56 12.2 6 "red"
"1305" 7.6 0.79 0.21 2.3 0.087 21 68 0.9955 3.12 0.44 9.2 5 "red"
"1315" 7 0.36 0.21 2.4 0.086 24 69 0.99556 3.4 0.53 10.1 6 "red"
"1316" 7.5 0.63 0.27 2 0.083 17 91 0.99616 3.26 0.58 9.8 6 "red"
"1321" 9.7 0.66 0.34 2.6 0.094 12 88 0.99796 3.26 0.66 10.1 5 "red"
"1327" 6.7 0.46 0.24 1.7 0.077 18 34 0.9948 3.39 0.6 10.6 6 "red"
"1334" 9.1 0.775 0.22 2.2 0.079 12 48 0.9976 3.18 0.51 9.6 5 "red"
"1335" 7.2 0.835 0 2 0.166 4 11 0.99608 3.39 0.52 10 5 "red"
"1338" 6 0.5 0 1.4 0.057 15 26 0.99448 3.36 0.45 9.5 5 "red"
"1345" 11.5 0.42 0.48 2.6 0.077 8 20 0.99852 3.09 0.53 11 5 "red"
"1349" 7.2 0.655 0.03 1.8 0.078 7 12 0.99587 3.34 0.39 9.5 5 "red"
"1356" 6.1 0.32 0.25 1.8 0.086 5 32 0.99464 3.36 0.44 10.1 5 "red"
"1359" 7.4 0.64 0.17 5.4 0.168 52 98 0.99736 3.28 0.5 9.5 5 "red"
"1371" 8.7 0.78 0.51 1.7 0.415 12 66 0.99623 3 1.17 9.2 5 "red"
"1374" 7.7 0.75 0.27 3.8 0.11 34 89 0.99664 3.24 0.45 9.3 5 "red"
"1375" 6.8 0.815 0 1.2 0.267 16 29 0.99471 3.32 0.51 9.8 3 "red"
"1393" 7.1 0.62 0.06 1.3 0.07 5 12 0.9942 3.17 0.48 9.8 5 "red"
"1399" 7 0.6 0.12 2.2 0.083 13 28 0.9966 3.52 0.62 10.2 7 "red"
"1402" 7.9 0.69 0.21 2.1 0.08 33 141 0.9962 3.25 0.51 9.9 5 "red"
"1415" 10 0.32 0.59 2.2 0.077 3 15 0.9994 3.2 0.78 9.6 5 "red"
"1421" 7.8 0.53 0.01 1.6 0.077 3 19 0.995 3.16 0.46 9.8 5 "red"
"1422" 7.5 0.4 0.18 1.6 0.079 24 58 0.9965 3.34 0.58 9.4 5 "red"
"1425" 8.3 0.26 0.37 1.4 0.076 8 23 0.9974 3.26 0.7 9.6 6 "red"
"1427" 7.7 0.23 0.37 1.8 0.046 23 60 0.9971 3.41 0.71 12.1 6 "red"
